instance,mltd,ttr,readability,unique_words,avg sentence len,avg word len
1_9,85.94853186519853,0.6850393700787402,55.92,87,31,4.4
1_12,55.64435041895021,0.6574074074074074,77.91,71,27,4.1
2_13,72.45538461538462,0.7758620689655172,77.27,45,19,4.1
2_14,37.96474358974359,0.6213592233009708,73.47,64,14,4.3
2_14,42.32,0.572463768115942,84.07,79,12,4.1
2_14,101.08000000000003,0.8947368421052632,78.45,34,9,4.6
2_13,53.81600000000002,0.8387096774193549,89.58,26,15,4.4
2_14,58.92547003897077,0.553072625698324,73.37,99,14,4.1
2_13,87.67818181818184,0.7349397590361446,84.2,61,20,4.0
2_13,105.29217391304348,0.7526881720430108,83.56,70,13,4.1
2_13,72.57600000000004,0.8611111111111112,95.0,31,18,3.9
2_14,71.21022727272727,0.6987951807228916,76.25,58,20,4.0
2_14,54.8902027027027,0.5746268656716418,77.47,77,19,4.0
2_13,47.915,0.7837837837837838,92.83,29,12,3.9
2_14,62.6985446985447,0.5808823529411765,73.81,79,22,4.1
2_14,31.061185468451246,0.5333333333333333,94.59,80,18,3.4
2_14,53.635778635778635,0.5625,78.89,90,17,4.0
3_15,103.92780284684481,0.6666666666666666,77.74,132,10,4.5
3_15,110.905700105279,0.6687116564417178,81.83,109,14,4.3
3_15,93.30263747519368,0.6917293233082706,71.55,92,16,4.3
3_16,41.8772288141088,0.6705882352941176,89.65,57,7,4.2
3_17,58.42465753424658,0.5906976744186047,69.92,127,17,4.2
3_18,90.72368421052633,0.6689655172413793,72.19,97,24,4.3
3_18,41.63562091503268,0.5963855421686747,79.9,99,16,4.1
3_15,55.87761911808227,0.5421686746987951,73.92,135,22,4.1
3_17,62.7916210655343,0.635593220338983,72.9,75,23,4.2
3_17,90.34666666666668,0.8636363636363636,66.07,38,22,4.4
3_18,104.49345910910228,0.6666666666666666,64.17,106,31,4.5
3_18,77.27656546489564,0.6779661016949152,72.9,80,23,4.3
3_17,79.55619557183712,0.5728643216080402,67.83,114,28,4.2
3_15,72.3465909090909,0.5840336134453782,83.46,139,13,4.1
3_15,115.09741640394562,0.6502732240437158,74.08,119,14,4.4
3_19,62.720000000000006,0.75,59.98,42,28,4.2
3_20,161.28000000000014,0.9583333333333334,97.2,23,8,3.8
3_21,66.63826673788385,0.6433566433566433,75.2,92,13,4.2
3_20,110.46241613700566,0.6449704142011834,59.77,109,28,4.5
3_22,83.90216662475902,0.5971563981042654,70.53,126,17,4.4
3_22,92.38973384030419,0.5824742268041238,68.6,113,19,4.3
3_21,38.106637168141596,0.7777777777777778,108.09,35,5,3.4
3_22,90.64967346394776,0.7058823529411765,76.76,84,19,4.4
3_20,61.130044843049326,0.539906103286385,60.82,115,35,4.1
3_20,68.83240223463687,0.7162162162162162,64.91,53,14,4.2
3_23,47.096,0.8275862068965517,50.5,24,29,4.7
3_22,75.68246864634705,0.5251141552511416,82.95,115,13,4.1
3_23,53.0,0.7169811320754716,91.82,38,13,3.6
3_23,43.0,0.7209302325581395,56.96,31,14,4.9
3_24,62.27485380116959,0.5603864734299517,64.95,116,23,4.4
3_24,45.13133104701424,0.4594594594594595,76.9,102,27,3.7
3_24,60.526476578411405,0.6165413533834586,77.47,82,19,3.9
3_24,43.29846065504981,0.5169491525423728,76.86,61,19,4.5
3_22,66.23457969688806,0.615819209039548,74.22,109,22,4.4
3_25,31.228070175438596,0.5955056179775281,108.4,53,5,3.5
3_26,75.61785545583373,0.5858585858585859,71.65,116,16,4.4
3_26,67.93288031402756,0.5602094240837696,79.19,107,17,4.0
3_25,47.546666666666674,0.8181818181818182,89.45,36,7,3.9
3_27,57.31578947368421,0.7272727272727273,71.65,48,16,4.3
3_25,33.88000000000001,0.8181818181818182,82.81,18,5,4.1
3_26,108.73141281981597,0.6285714285714286,78.99,132,17,4.1
3_26,116.01340694006308,0.69375,76.56,111,20,4.3
3_25,26.810103244837762,0.7021276595744681,93.34,33,11,3.6
3_28,79.6856776857924,0.615,86.71,123,10,4.3
3_29,64.53377132319041,0.5764705882352941,72.66,98,15,4.2
3_29,43.710386091375824,0.4605809128630705,72.29,111,24,4.2
3_27,63.75,0.6143790849673203,66.07,94,21,4.4
3_29,52.80783444198077,0.5664739884393064,67.62,98,28,4.2
3_29,31.756416810159276,0.49032258064516127,89.58,76,15,3.9
3_28,58.86999999999998,0.8620689655172413,87.01,25,9,4.1
3_27,36.0,0.6354166666666666,94.45,61,10,4.1
3_30,68.111319495216,0.5714285714285714,82.44,136,14,4.2
3_30,93.20592865992154,0.602510460251046,66.37,144,21,4.3
3_30,86.1154989681346,0.6918238993710691,61.5,110,26,4.3
3_30,63.644449412365866,0.5265700483091788,80.72,109,15,4.2
3_31,70.00000000000001,0.8,95.17,40,10,4.0
3_31,45.10144927536231,0.48333333333333334,85.02,116,20,3.8
3_31,65.88805970149255,0.7037037037037037,76.25,57,20,4.0
3_31,49.13078703703704,0.5294117647058824,90.7,99,14,4.0
3_30,80.9681098600692,0.549618320610687,74.73,144,21,4.0
3_31,58.83500000000002,0.8048780487804879,91.41,33,13,4.0
3_31,57.666666666666664,0.5838150289017341,80.92,101,15,4.0
4_32,34.528325307288895,0.6132075471698113,89.65,65,7,3.9
4_33,181.43999999999994,0.9444444444444444,78.59,34,18,3.8
4_32,33.635000000000005,0.7419354838709677,100.04,23,5,3.8
4_34,49.92,0.8205128205128205,86.91,32,9,4.1
4_33,66.36000000000001,0.7777777777777778,90.7,56,14,4.0
4_32,33.111111111111114,0.6739130434782609,93.64,31,11,3.7
4_33,74.2841163310962,0.6068965517241379,78.48,88,18,4.0
