instance,mltd,ttr,readability,unique_words,avg sentence len,avg word len
1_8,62.80615384615386,0.7592592592592593,60.99,41,27,4.4
1_10,85.99007203340783,0.6507936507936508,38.62,82,42,4.7
1_10,65.0,0.7230769230769231,67.79,47,21,4.1
1_6,78.09313725490196,0.7191011235955056,70.73,64,17,4.8
1_6,56.02153846153847,0.7450980392156863,75.91,38,12,4.2
1_11,82.03086419753086,0.6907216494845361,80.62,67,16,4.4
1_11,92.1058069171354,0.6923076923076923,72.36,90,16,4.5
1_12,63.11902448503693,0.6310679611650486,69.11,65,20,4.1
1_6,137.44888888888886,0.8085106382978723,32.26,76,31,5.1
1_12,60.0,0.71875,70.9,46,9,4.6
1_12,64.0,0.71875,63.9,46,16,4.2
1_12,82.0909090909091,0.6,53.34,96,26,4.6
1_12,64.736,0.8529411764705882,88.57,29,17,4.3
1_13,42.875000000000014,0.7714285714285715,71.14,27,17,4.1
1_12,74.08120531154239,0.6438356164383562,59.33,94,20,4.6
1_13,68.41866438356165,0.6050955414012739,56.73,95,31,4.7
1_12,101.64000000000003,0.8181818181818182,66.94,54,13,4.5
1_13,87.51136363636363,0.6568627450980392,54.56,67,25,4.5
1_12,88.13244514106583,0.6635514018691588,67.28,71,21,4.5
1_12,56.70000000000001,0.7777777777777778,68.77,35,11,4.5
1_13,31.917365878464278,0.6455696202531646,39.34,51,39,5.0
1_14,97.46800000000002,0.8305084745762712,59.94,49,19,4.9
1_15,37.52883031301482,0.7,68.6,56,20,4.4
1_14,72.82800000000002,0.803921568627451,71.44,41,17,5.0
1_14,197.49333333333348,0.9347826086956522,81.63,43,15,4.5
1_16,112.36000000000004,0.8679245283018868,53.51,46,17,5.1
1_14,50.7433962264151,0.6666666666666666,71.85,68,17,4.4
1_16,108.05555555555556,0.6956521739130435,80.92,80,16,4.4
1_16,61.685993111366244,0.6627906976744186,75.74,57,21,3.7
1_14,204.11999999999972,0.9629629629629629,60.99,26,27,5.3
1_15,72.96968946735517,0.6666666666666666,81.73,70,15,4.4
1_15,56.0,0.7142857142857143,77.87,40,18,4.3
1_16,96.6116666666667,0.7362637362637363,73.47,67,15,4.6
1_18,118.81,0.7431192660550459,62.17,81,18,4.6
1_18,107.18900343642612,0.7142857142857143,42.38,80,37,4.7
1_19,79.4957947407644,0.635593220338983,73.88,75,14,4.4
1_14,79.84803921568627,0.7142857142857143,49.18,65,30,4.8
1_19,70.41533546325878,0.7,77.53,56,11,4.2
1_19,81.22333333333333,0.7966101694915254,52.53,47,29,4.4
1_14,61.41483390130047,0.5954198473282443,70.02,78,18,4.3
1_19,66.87733333333333,0.7580645161290323,72.87,47,15,4.2
1_20,54.89240506329114,0.7040816326530612,22.25,69,49,4.9
1_20,78.93541674141582,0.6589147286821705,47.66,85,32,4.7
2_22,58.3250786163522,0.5505050505050505,97.03,109,16,3.8
2_21,78.49333333333335,0.896551724137931,58.96,26,29,4.7
2_23,70.87499999999999,0.8222222222222222,64.71,37,15,4.5
2_22,148.32432432432435,0.7357142857142858,72.36,103,15,4.7
2_23,82.89473684210529,0.7466666666666667,69.31,56,18,4.6
2_22,47.55292428296133,0.6133333333333333,71.48,92,25,4.1
2_21,51.91995943572678,0.5601851851851852,64.04,121,24,4.4
2_21,117.23684210526316,0.7037037037037037,71.24,95,16,4.4
2_23,63.900578135949544,0.6027397260273972,66.17,132,21,4.5
2_22,53.94666666666666,0.8235294117647058,45.43,28,34,5.2
2_21,50.54000000000001,0.7894736842105263,95.67,30,9,3.7
2_23,58.33333333333334,0.76,54.56,38,25,5.0
2_24,67.375,0.6313131313131313,73.98,125,14,4.8
2_25,92.38698630136986,0.6792452830188679,81.53,72,15,4.2
2_26,54.76000000000002,0.8108108108108109,61.16,30,18,5.2
2_24,46.875,0.72,79.6,36,16,4.0
2_25,115.88007293370175,0.6917808219178082,63.59,101,16,4.7
2_24,60.18746708794103,0.6179775280898876,78.79,110,17,4.2
2_25,61.59272282906878,0.585635359116022,78.48,106,18,4.4
2_25,81.94716533095874,0.5546218487394958,61.8,132,26,4.3
2_24,76.69603911879193,0.5509433962264151,64.04,146,24,4.2
2_25,45.354693140794225,0.49047619047619045,80.41,103,16,4.1
2_26,95.00906861051614,0.6411764705882353,55.27,109,24,4.6
2_24,47.82739342334902,0.6170212765957447,70.53,87,17,4.3
2_25,69.39272334293948,0.5218855218855218,65.25,155,22,4.4
2_24,99.35255437531615,0.65,59.53,104,20,4.8
2_25,50.52800208387601,0.5509259259259259,58.01,119,21,4.5
2_25,140.14318783068782,0.6731517509727627,59.84,173,19,4.9
